id,name,category,shortDescription,fullDescription,logo,folder,events,instagram,linkedin,website
gdg-rvce,Google Developer Groups (GDG),Technical,"A Google-powered community for student developers exploring ML, competitive programming, and open source.","GDG On Campus is a global community of developers that's powered by Google, and driven by innovation. At GDG RVCE, we bring together passionate student developers through thriving focus areas such as Machine Learning, Competitive Programming, and Open-Source. Through workshops, projects, hackathons, tech-discussions, study jams, and seminars, we empower our members to create, collaborate, and connect with a worldwide network of tech enthusiasts, and build what truly matters.",assets/logos/gdg-rvce.png,gdg-rvce,The Ultimate Google-Powered Coding Starter Kit; Money Heist: Grand Larceny; Bite-Sized Machine Learning for Absolute Beginners; Google Your Way to Hackathon Victory,https://instagram.com/gdg_rvce,https://linkedin.com/company/gdg-rvce,https://gdg-rvce.rvce.edu.in
project-jatayu,Project Jatayu,Technical,"A student-led team building Unmanned Aerial Vehicles (UAVs) for real-world surveillance, reconnaissance, and agriculture challenges.","Project Jatayu, founded in 2009, is one of India's top student led teams shaping the future of Unmanned Aerial Vehicles (UAVs). From our debut at the Australian Outback Challenge to competing on the global stage at the AUVSI's SUAS, we've grown into a powerhouse of innovation. Bringing together talent from Aerospace, Mechanical, Electronics, and Computer Science, we design drones that merge precision engineering with creative vision. Our UAVs take on real world challenges in surveillance, reconnaissance, and agriculture, offering opportunities for innovators from every branch of engineering.",assets/logos/project-jatayu.png,project-jatayu,Drone Assembly; Drone101; Drone Simulation; Game of Drones,https://instagram.com/project_jatayu,https://linkedin.com/company/project-jatayu,https://project-jatayu.rvce.edu.in
coding-club-rvce,Coding Club RVCE,Technical,"A vibrant community for passionate coders focused on programming, problem-solving, and innovation.","The Coding Club of RVCE is a vibrant community for passionate coders, fostering skills in programming, problem-solving, and innovation. We organize campus-wide coding competitions, technical workshops, and collaborative projects in areas like web development, ML, and Web3. Members engage in open-source contributions, represent the college at prestigious contests, and gain insights from alumni sessions. We aim to inspire creativity, sharpen technical expertise, and build a strong coding culture on campus.",assets/logos/coding-club-rvce.png,coding-club-rvce,Fresher's Frontier; Cache Me If You Can; Horcrux Hunt CTF; AI Odyssey,https://instagram.com/coding_club_rvce,https://linkedin.com/company/coding-club-rvce,https://coding-club-rvce.rvce.edu.in
rv-quizcorp,RV QuizCorp,Non-Technical,"RVCE's quizzing club, running national-level quizzes across topics like history, sports, entertainment, and science.","RV QuizCorp is the quizzing club of RVCE, founded in 1998. RV QuizCorp has grown into one of the best known clubs in national quizzing circuits and has gained nationwide recognition for both winning and organizing quizzes of the highest standard. To promote quizzing culture in RVCE and for the sheer thrill of quizzing, we also organize quizzes on topics as varied as science-tech, sports, entertainment and politics.",assets/logos/rv-quizcorp.png,rv-quizcorp,The India Quiz; The Entertainment Quiz; The Sports Quiz; The Science Business Tech Quiz,https://instagram.com/rv_quizcorp,https://linkedin.com/company/rv-quizcorp,https://rv-quizcorp.rvce.edu.in
project-garuda,Project Garuda,Technical,"RVCE's official super mileage vehicle team, designing ultra fuel-efficient cars for competitions like the Shell Eco-Marathon.","Project Garuda is the official super mileage student team of RV College of Engineering (RVCE), Bengaluru. The club brings together passionate students from various engineering disciplines to design, build, and test ultra fuel-efficient vehicles. With a strong focus on sustainability, innovation, and energy efficiency, the team represents RVCE at international competitions such as the Shell Eco-Marathon, where the goal is to achieve the maximum distance on minimal fuel or energy. The club is structured into mechanical, electrical, and management divisions.",assets/logos/project-garuda.png,project-garuda,Powering Performance: Electrical Systems in a Super-Mileage Car; From Screen to Street: Designing & Knowing the Garuda Way; Aerodynamics in Action; From Raw Material to Race-Ready Part,https://instagram.com/project_garuda,https://linkedin.com/company/project-garuda,https://project-garuda.rvce.edu.in
rotaract-club-rvce,Rotaract Club of R.V.C.E.,Non-Technical,"A service-oriented club focused on community impact, skill-building, and connections through Rotaract's global network.","Rotaract Club of RVCE - where every passion finds a place! From building skills to serving communities, from friendships forged in service to connections reaching Rotaractors around the world, it's the place to learn, grow, connect, and create impact - while loving every moment. Our Flagship events include Fast-Trek, Naivedyam, Blood Donation Camps, Awaaz, Uptown Junk, and Secret Santa, among many more.",assets/logos/rotaract-club-rvce.png,rotaract-club-rvce,Full House; Tale in Tandem; Portal to Upside Down; Freshmen Reality,https://instagram.com/rotaract_club_rvce,https://linkedin.com/company/rotaract-club-rvce,https://rotaract-club-rvce.rvce.edu.in
spark-iucee,SPARK-IUCEE Student Chapter,Technical,"RVCE's hands-on, student-led IUCEE chapter helping freshers build real skills through workshops, projects, and industry visits.","SPARK: IUCEE-RVCE Student Chapter is RVCE's hands-on, student-led chapter powered by IUCEE where freshers turn curiosity into real skills through workshops, team challenges, industry visits, and national forums. From building projects and exploring cutting-edge companies to meeting experts and peers across India, SPARK helps members learn by doing, grow their network, and sharpen their profile for internships and placements. It's a vibrant community to experiment, lead, and make ideas happen, starting from day one.",assets/logos/spark-iucee.png,spark-iucee,"LinkedIn Launchpad: Level Up Your Career Game!; Industry Insider: Lead, Solve, Triumph!; Tech-tionary: Crack the Code, Guess the Quest!; Gearshift 5.0: Debate the Drive!",https://instagram.com/spark_iucee,https://linkedin.com/company/spark-iucee,https://spark-iucee.rvce.edu.in
women-in-cloud-coe-insider-circle,Women in Cloud CoE Insider Circle,Non-Technical,"A socio-technical student chapter empowering students in cloud native and automation through mentorship, education, and networking.","The Women in Cloud Insider Circle at RVCE, launched in 2024, is a first-of-its-kind socio-technical team developed as a student chapter under the Women in Cloud Centre of Excellence in India. We're here to empower students in cloud native and automation through mentorship, education, and networking, fostering inclusivity and paving the way for a future with innovations in the tech industry.",assets/logos/women-in-cloud-coe-insider-circle.png,women-in-cloud-coe-insider-circle,Network Nexus - Building Bridges to Your Future; Introduction to Cloud & Internships; Vision 2029: From Freshman to Final Year; From Pen to Publish: A Beginner's Guide to Research Writing,https://instagram.com/women_in_cloud_coe_insider_circle,https://linkedin.com/company/women-in-cloud-coe-insider-circle,https://women-in-cloud-coe-insider-circle.rvce.edu.in
team-frequency,Team Frequency,Technical,"A tech innovation club exploring AI, Machine Learning, AR/VR, IoT, Robotics, and Automation to turn bold ideas into real-world impact.","We are the ""To Be Engineers"" - dreamers, builders, and problem-solvers on a mission to turn bold ideas into real-world impact. At Frequency Club, we don't just talk about the future, we create it - exploring AI, Machine Learning, AR/VR, IoT, Robotics, Automation, and beyond. From tackling everyday challenges to shaping industry breakthroughs, we're where curiosity meets technology, and passion sparks innovation. If you can imagine it, we'll engineer it.",assets/logos/team-frequency.png,team-frequency,Prompt to Product; Human Neural Network; College Mastery; Vision Unlocked - How AI Looks at the World,https://instagram.com/team_frequency,https://linkedin.com/company/team-frequency,https://team-frequency.rvce.edu.in
f63-photography-club,F/6.3 Photography Club,Non-Technical,"A community of photography enthusiasts capturing moments, telling stories, and exploring the art of photography.","F/6.3 Photography Club is a vibrant community of photography enthusiasts dedicated to capturing moments, telling stories and exploring the art of photography. The club provides a platform for students to enhance their photography skills, engage in creative projects, and participate in events, workshops, and photo walks. The club plays a crucial role in documenting institutional events, promoting campus activities, and encouraging artistic expression through the lens.",assets/logos/f63-photography-club.png,f63-photography-club,Introduction to Photography; Photo Editing; Video Editing; Creative Shooting Session,https://instagram.com/f63_photography_club,https://linkedin.com/company/f63-photography-club,https://f63-photography-club.rvce.edu.in
